LIVmDCSGC,LIVmDCIGC,LIVmF1aGS,LIVmF1aIGS,NLIMFRSGC,NLIMFRIGC,NLIspksF1GS,NLIspksF1IGS
-37.529667,-15.420156,-7.4613838,-22.490322,0.15094337,0,0,0
-73.541992,-17.033888,-3.7462387,-18.782604,0,0.057142891,0,0
-34.751083,-8.2140493,-19.361919,-39.788628,,,0.0106729,0.040114719
-26.630449,-16.002846,-38.59029,-3.3445978,0,0.18650796,0.12725641,0.12453533
-33.264168,-19.414362,-38.853073,-12.633889,0.016666699,0.22695038,0.18779127,0.15522404
-76.718193,-4.0274034,-22.746431,-22.834429,0.49999991,0.40298507,0.09088663,0.01240498
-60.169964,-16.890039,-37.736382,-17.372307,0.37142843,0.46153739,0.18395109,0.078021213
-65.271255,-9.9687662,-33.790321,,0.15000001,0.50000006,0.022893049,
-99.242363,-19.074268,-22.673435,,0.17647055,0.27083325,0.01526458,
-42.285351,-18.709244,,,0.08333341,0.3039251,,
-68.681526,-3.8183253,,,0,0.018867927,,
-55.350826,-8.1992292,,,0,0,,
-42.068974,-24.138363,,,0.14285718,0,,
-57.153053,,,,0.13793103,,,
-75.654007,,,,0.1119403,,,
-49.396179,,,,0.15254238,,,
-33.39967,,,,0.46464643,,,
-11.184203,,,,0.093023226,,,
-25.410143,,,,0.30434784,,,
-94.573288,,,,0.56250006,,,
